Composition,doi,Phase,Density (g/cm3),Hardness (GPa),YS (MPa) at 23 C,YS (MPa) at 1000 C,YS (MPa) at 1200 C,Test Type
Al10.5Cr24.75Fe20Co20Ni24.75,10.1016/j.intermet.2018.05.013,FCC+BCC,,,370,,,T
Al0.1CoCrFeNi,10.1016/j.intermet.2018.05.013,FCC,,,412,,,T
Al0.1CoCrFeNi,10.1016/j.intermet.2018.05.013,FCC,,,295,,,T
Al0.1CoCrFeNi,10.1016/j.intermet.2018.05.013,FCC,,,250,,,T
Al0.3CoCrFeNi,10.1016/j.intermet.2018.05.013,FCC,,,515,,,T
Al0.3CoCrFeNi,10.1016/j.intermet.2018.05.013,FCC,,,310,,,T
Al0.3CoCrFeNi,10.1016/j.intermet.2018.05.013,FCC,,,220,,,T
FeCoNi(CuAl)0.8,10.1016/j.jallcom.2018.02.189,FCC,,,601,,,C
FeCoNi(CuAl)0.8Ga0.02,10.1016/j.jallcom.2018.02.189,FCC,,,803,,,C
FeCoNi(CuAl)0.8Ga0.04,10.1016/j.jallcom.2018.02.189,FCC,,,886,,,C
FeCoNi(CuAl)0.8Ga0.06,10.1016/j.jallcom.2018.02.189,FCC,,,993,,,C
FeCoNi(CuAl)0.8Ga0.08,10.1016/j.jallcom.2018.02.189,FCC,,,1176,,,C
FeNiMnCr0.75Al0.25,10.1016/j.msea.2018.04.007,,,,450.5,,,C
FeNiMnCr0.75Al0.25,10.1016/j.msea.2018.04.007,,,,,945,,C
FeNiMnCr0.75Al0.5,10.1016/j.msea.2018.04.007,,,,1411.1,,,C
FeNiMnCr0.75Al0.5,10.1016/j.msea.2018.04.007,,,,,2331.9,,C
FeNiMnCr0.75Al0.75,10.1016/j.msea.2018.04.007,,,,1571.8,,,C
FeNiMnCr0.75Al0.75,10.1016/j.msea.2018.04.007,,,,,1275.5,,C
Al12.5Ni17.5Co17.5Fe26.25Cr26.25,10.1016/j.msea.2018.09.060,BCC/B2 + FCC,,,1561,,,
Al9.4Ti3.1Ni17.5Co17.5Fe26.25Cr26.25,10.1016/j.msea.2018.09.060,BCC/L21 + FCC,,,1581,,,
Al8.3Ti4.2Ni17.5Co17.5Fe26.25Cr26.25,10.1016/j.msea.2018.09.060,BCC/L21 + FCC,,,1560,,,
Al6.25Ti6.25Ni17.5Co17.5Fe26.25Cr26.25,10.1016/j.msea.2018.09.060,BCC/L21 + FCC,,,1507,,,
Al12.5Ni17.5Co17.5Fe17.5Cr35,10.1016/j.msea.2018.09.060,BCC/B2,,,1718,,,
Al9.4Ti3.1Ni17.5Co17.5Fe17.5Cr35,10.1016/j.msea.2018.09.060,BCC/L21,,,1777,,,
Al8.3Ti4.2Ni17.5Co17.5Fe17.5Cr35,10.1016/j.msea.2018.09.060,BCC/L21,,,1808,,,
CoCrFeNi,10.1016/j.matchemphys.2017.07.037,,,,155,,,T
Al0.3CoCrFeNi,10.1016/j.matchemphys.2017.07.037,,,,,159,,T
Al0.5CoCrFeNi,10.1016/j.matchemphys.2017.07.037,,,,355,,,T
Al0.5CoCrFeNi,10.1016/j.matchemphys.2017.07.037,,,,834,,,T
(FeCoNiCr)94Ti2Al4,10.1016/j.matchemphys.2017.07.037,,,,,645,,T
CoCrFeNiMo0.1,10.1016/j.matchemphys.2017.07.037,,,,198.8,,,T
CoCrFeNiMo0.2,10.1016/j.matchemphys.2017.07.037,,,,254.7,,,T
CoCrFeNiMo0.3,10.1016/j.matchemphys.2017.07.037,,,,305.3,,,T
Al12.5Ni21.875Co21.875Fe21.875Cr21.875,10.1016/j.actamat.2018.01.050,FCC+BCC/B2,,,598,,,N/A
Al12.5Ni25Co25Fe18.75Cr18.75,10.1016/j.actamat.2018.01.050,FCC+BCC/B2,,,346,,,N/A
Al12.5Ni17.5Co17.5Fe35Cr17.5,10.1016/j.actamat.2018.01.050,FCC+BCC/B2,,,991,,,N/A
Co20Cr26Fe20Mn20Ni14,10.1016/j.matdes.2018.01.045,FCC,7.92,,162,,,T
Co26Cr19Fe19Mn19Ni19,10.1016/j.matdes.2018.01.045,FCC,8.09,,134,,,T
CoCrFeMnNi,10.1016/j.matdes.2018.01.045,FCC,8.03,,170,,,T
CoCrFeMnNi,10.1016/j.matdes.2018.01.045,FCC,8.03,,162,,,T
CoCrFeMnNi,10.1016/j.matdes.2018.01.045,FCC,8.03,,175,,,T
CoCrFeMnNi,10.1016/j.matdes.2018.01.045,FCC,8.03,,127,,,
CoCrFeMnNi,10.1016/j.matdes.2018.01.045,FCC,8.03,,190,,,
CoCuFeMnNi,10.1016/j.matdes.2018.01.045,FCC,8.39,,342,,,T
Al8Cr6Fe40Mn35Ni11,10.1016/j.matdes.2018.01.045,FCC,7.27,,159,,,T
Al8Co25Cu18Fe25Ni25,10.1016/j.matdes.2018.01.045,FCC,7.99,,192,,,
Al10Co17Fe35Mo6Ni34,10.1016/j.matdes.2018.01.045,FCC,7.86,,215,,,T
CoCrFeMnNi,10.1016/j.intermet.2018.04.022,FCC,,,117,,,
CoCrFeMnNi,10.1016/j.intermet.2018.04.022,FCC,,,117,,,
CoCrFeMnNi,10.1016/j.intermet.2018.04.022,FCC,,,326,,,
CoCrFeMnNi,10.1016/j.intermet.2018.04.022,FCC,,201.6,147,,,
CoCrFeNi,10.1016/j.intermet.2018.04.022,FCC,,215,123,,,
CoFeMnNi,10.1016/j.intermet.2018.04.022,FCC,,187.9,131,,,
CoFeNi,10.1016/j.intermet.2018.04.022,FCC,,162,161,,,
FeMnNi,10.1016/j.intermet.2018.04.022,FCC,,181,176,,,
CoMnNi,10.1016/j.intermet.2018.04.022,FCC,,189.4,178,,,
FeNi,10.1016/j.intermet.2018.04.022,FCC,,166.2,139,,,
CoNi,10.1016/j.intermet.2018.04.022,FCC,,216.7,59,,,
Ni,10.1016/j.intermet.2018.04.022,FCC,,199.1,10,,,
Ni1.5Co1.5CrFeTi0.5,10.1016/j.scriptamat.2018.07.034,FCC,,213,1267,,,T
Ni1.5Co1.5CrFeTi0.5,10.1016/j.scriptamat.2018.07.034,FCC,,213,1289,,,T
Ni1.5Co1.5CrFeTi0.5,10.1016/j.scriptamat.2018.07.034,FCC,,223,,1048,,T
Ni1.5Co1.5CrFeTi0.5,10.1016/j.scriptamat.2018.07.034,FCC,,223,,1060,,T
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1350,,,C
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1300,,,N/A
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1500,,,N/A
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1000,,,N/A
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,790,,,T
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1040,,,N/A
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1430,,,N/A
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,2050,,,N/A
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1900,,,N/A
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1860,,,N/A
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1760,,,C
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1200,,,N/A
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1200,,,N/A
Al1.25CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1020,,,N/A
Al0.1CrCoFeNi,10.1016/j.ultsonch.2017.09.044,,7.45,186,160,,,N/A
Al0.15CoCrCuFeNiC,10.1016/j.jallcom.2018.05.180,FCC,7.73,148.3,2047,,,
Al0.15CoCrCuFeNiTiC,10.1016/j.jallcom.2018.05.180,FCC+BCC,6.87,161.3,2199,,,
Al0.15CoCrCuFeNiTi2C,10.1016/j.jallcom.2018.05.180,FCC+BCC,6.7,179.3,2877,,,
Ti,10.1016/j.intermet.2018.07.008,BCC,,116,195,,,
Zr,10.1016/j.intermet.2018.07.008,BCC,,88,280,,,
Nb,10.1016/j.intermet.2018.07.008,BCC,,105,240,,,
Ta,10.1016/j.intermet.2018.07.008,BCC,,186,170,,,
TiZrNbTaMo,10.1016/j.intermet.2018.07.008,BCC,,153,1400,,,
Nb25Mo25Ta25W25,10.1016/j.msea.2018.09.089,BCC,,,2460,,,C
Ti8Nb23Mo23Ta23W23,10.1016/j.msea.2018.09.089,BCC,,,2377,,,C
Nb25Mo25Ta25W25,10.1016/j.msea.2018.09.089,BCC,,,1058,,,C
Ti30Zr25Hf15Nb20Ta10,10.1016/j.msea.2017.10.073,BCC,,75,1060,,,
Ti30Zr25Hf15Nb20Ta10,10.1016/j.msea.2017.10.073,BCC,,78,1260,,,
Ti30Zr25Hf15Nb20Ta10,10.1016/j.msea.2017.10.073,BCC,,78,1290,,,
Ti30Zr25Hf15Nb20Ta10,10.1016/j.msea.2017.10.073,BCC,,80,1040,,,
CoCrFeNiMnTi0.1,10.1016/j.msea.2018.04.014,,,,350,,,T
CoCrFeNiMnTi0.1,10.1016/j.msea.2018.04.014,,,,1950,,,T
CoCrFeNiMn,10.1016/j.msea.2018.04.014,,,,300,,,T
CoCrFeNiMn,10.1016/j.msea.2018.04.014,,,,1400,,,T
CoCrFeNiMn,10.1016/j.msea.2018.04.014,,,,,370,,T
CrMnFeV,10.1016/j.jmst.2018.02.026,BCC+BCC1,,,727,,,C
CrMn0.3FeVCu0.06,10.1016/j.jmst.2018.02.026,FCC+BCC,,,1273,,,C
CrMn0.5FeVCu0.10,10.1016/j.jmst.2018.02.026,FCC+BCC,,,1087,,,C
CrMn0.7FeVCu0.14,10.1016/j.jmst.2018.02.026,FCC+BCC,,,1068,,,C
CrMnFeVCu0.20,10.1016/j.jmst.2018.02.026,FCC+BCC,,,862,,,C
Fe36Mn21Cr18Ni15Al10,10.1016/j.intermet.2018.09.010,,,,910,,,C
Fe36Co21Cr18Ni15Al10,10.1016/j.intermet.2018.09.010,,,,250,,,C
Fe35Mn20Cr17Ni12Al12Ti4,10.1016/j.intermet.2018.09.010,,,,1280,,,C
Fe35Co20Cr17Ni12Al12Ti4,10.1016/j.intermet.2018.09.010,,,,1420,,,C
CoCrFeNiMn,10.1016/j.msea.2018.04.118,FCC,,,960,,,T
CoCrFeNiMn,10.1016/j.msea.2018.04.118,FCC,,,850,,,T
CoCrFeNiMn,10.1016/j.msea.2018.04.118,FCC,,,785,,,T
CoCrFeNiMn,10.1016/j.msea.2018.04.118,FCC,,,530,,,T
Fe20Cr20Ni20Mn20Co,10.1016/j.prostr.2018.12.224,FCC,,,254,,,T
Fe18Cr14Ni,10.1016/j.prostr.2018.12.224,FCC,,,167,,,T
FeCoNiCrMn,10.1016/j.intermet.2017.11.018,FCC,,,230,,,T
FeCoNiCrMn,10.1016/j.intermet.2017.11.018,FCC,,,450,,,T
FeCoNiCrMnAl,10.1016/j.intermet.2017.11.018,FCC+BCC,,,500,,,T
FeCoNiCrMnAl,10.1016/j.intermet.2017.11.018,FCC+BCC,,,750,,,T
PdPtRhIrCuNi,10.1016/j.scriptamat.2017.08.030,FCC,,254.4,561,,,
PdPtRhIrCuNi,10.1016/j.scriptamat.2017.08.030,FCC,,254.4,527,,,
PdPtRhIrCuNi,10.1016/j.scriptamat.2017.08.030,FCC,,343.8,587,,,
PdPtRhIrCuNi,10.1016/j.scriptamat.2017.08.030,FCC,,211.1,521,,,
PdPtRhIrCuNi,10.1016/j.scriptamat.2017.08.030,FCC,,323.2,617,,,
PdPtRhIrCuNi,10.1016/j.scriptamat.2017.08.030,FCC,,212,504,,,
PdPtRhIrCuNi,10.1016/j.scriptamat.2017.08.030,FCC,,324.3,623,,,
PdPtRhIrCuNi,10.1016/j.scriptamat.2017.08.030,FCC,,238.2,533,,,
PdPtRhIrCuNi,10.1016/j.scriptamat.2017.08.030,FCC,,338.2,578,,,
PdPtRhIrCuNi,10.1016/j.scriptamat.2017.08.030,FCC,,175.9,423,,,
AuPdAgPt,10.1016/j.scriptamat.2017.08.030,FCC,,112.7,85,,,
AuPdAg,10.1016/j.scriptamat.2017.08.030,FCC,,94.1,60,,,
AuPd,10.1016/j.scriptamat.2017.08.030,FCC,,100,80,,,
Au80Ni20,10.1016/j.scriptamat.2017.08.030,FCC,,102,332,,,
Au60Ag32Ni20,10.1016/j.scriptamat.2017.08.030,FCC,,88.9,127,,,
CuNiRhIr,10.1016/j.scriptamat.2017.08.030,FCC,,309,603,,,
FeCoCrNi,10.1016/j.actamat.2018.05.013,FCC,,,260,,,T
FeCoCrNiMo0.23,10.1016/j.actamat.2018.05.013,FCC,,,360,,,T
CrCoNi,10.1016/j.actamat.2018.05.013,FCC,,,360,,,T
CrMnFeCoNi,10.1016/j.actamat.2018.05.013,FCC,,,265,,,T
TiZrNbTa,10.1016/j.intermet.2018.01.017,2BCC,,115,1020,,,
(TiZrNbTa)95Mo5,10.1016/j.intermet.2018.01.017,2BCC,,129,1180,,,
(TiZrNbTa)90Mo10,10.1016/j.intermet.2018.01.017,2BCC,,137,1300,,,
(TiZrNbTa)85Mo15,10.1016/j.intermet.2018.01.017,2BCC,,150,1370,,,
(TiZrNbTa)80Mo20,10.1016/j.intermet.2018.01.017,2BCC,,155,1460,,,
HfNbTiZr,10.1016/j.mtcomm.2018.06.004,BCC,,,706,,,
Al0.5HfNbTiZr,10.1016/j.mtcomm.2018.06.004,BCC,,,1120,,,
Al0.75HfNbTiZr,10.1016/j.mtcomm.2018.06.004,BCC,,,1331,,,
AlHfNbTiZr,10.1016/j.mtcomm.2018.06.004,BCC,,,1582,,,
Al1.25HfNbTiZr,10.1016/j.mtcomm.2018.06.004,BCC,,,1620,,,
Al1.5HfNbTiZr,10.1016/j.mtcomm.2018.06.004,BCC,,,1746,,,
Fe26.7Co26.7Ni26.6Si9B11,10.1016/j.jmmm.2017.09.065,FCC+BCC,,,1400,,,C
Fe30Co25Ni25Si9B11,10.1016/j.jmmm.2017.09.065,FCC+BCC,,,1200,,,C
Fe40Co20Ni20Si9B11,10.1016/j.jmmm.2017.09.065,FCC+BCC,,,1200,,,C
Al0.3CoCrFeNi,10.1016/j.matchemphys.2017.07.085,FCC,,,119,,,
Al0.3CoCrFeNiMn0.1,10.1016/j.matchemphys.2017.07.085,FCC,,,149,,,
Al0.3CoCrFeNiMn0.3,10.1016/j.matchemphys.2017.07.085,FCC,,,158,,,
CoCrFeNiMn,10.1016/j.intermet.2017.09.013,FCC,7.74,,1314,,,C
CoCrFeNiMnN0.1,10.1016/j.intermet.2017.09.013,FCC,7.6,,1517,,,C
CoCrFeNiMn,10.1016/j.intermet.2017.09.013,FCC,7.85,,1500,,,C
CuCrFeTiZn,10.1016/j.wear.2018.05.023,FCC+BCC,6.94,241,585,,,
(CuCrFeTiZn)95Pb5,10.1016/j.wear.2018.05.023,Multiphase,7.55,174,440,,,
(CuCrFeTiZn)90Pb10,10.1016/j.wear.2018.05.023,Multiphase,7.85,144,258,,,
AlNbTiV,10.1016/j.jallcom.2018.05.099,B2,,,1000,,,C
AlCr0.5NbTiV,10.1016/j.jallcom.2018.05.099,B2,,,1300,,,C
AlCrNbTiV,10.1016/j.jallcom.2018.05.099,B2,,,1550,,,C
AlNbTiVZr0.5,10.1016/j.jallcom.2018.05.099,B2,,,1485,,,C
AlNbTiVZr,10.1016/j.jallcom.2018.05.099,B2,,,1500,,,C
CoCrFeNi,10.1016/j.msea.2018.04.058,FCC,,,202,,,
CoCrFeNiY0.05,10.1016/j.msea.2018.04.058,FCC,,,563,,,C
CoCrFeNiY0.1,10.1016/j.msea.2018.04.058,FCC,,,885,,,C
CoCrFeNiY0.2,10.1016/j.msea.2018.04.058,FCC,,,1286,,,C
CoCrFeNiY0.3,10.1016/j.msea.2018.04.058,FCC,,,1440,,,C
Al7Co24Cr21Fe24Ni24,10.1016/j.msea.2018.07.069,FCC,,187,249,,,
(Al7Co24Cr21Fe24Ni24)89Cr11,10.1016/j.msea.2018.07.069,FCC+BCC,,194,456,,,
(Al7Co24Cr21Fe24Ni24)80Cr20,10.1016/j.msea.2018.07.069,FCC+BCC,,196,998,,,C
(Al7Co24Cr21Fe24Ni24)74Cr26,10.1016/j.msea.2018.07.069,FCC,,209,1649,,,C
CoCrFeNiS0.5,10.1016/j.msea.2018.06.030,FCC,7.19,,556,,,
CoCrFeNi,10.1016/j.msea.2018.06.030,FCC,8.15,,387,,,
AlCrCoFeNi,10.1016/j.msea.2018.07.045,FCC+BCC,,,860,,,
Al1.2CrCo0.8FeNi,10.1016/j.msea.2018.07.045,BCC,,,1160,,,
Al1.4CrCo0.6FeNi,10.1016/j.msea.2018.07.045,BCC,,,1000,,,
Al1.6CrCo0.4FeNi,10.1016/j.msea.2018.07.045,BCC,,,1050,,,
CoCrFeMnNiNbC,10.1016/j.msea.2019.03.057,FCC,8.7,,281,,,
CoCrFeMnNiNbC,10.1016/j.msea.2019.03.057,FCC,8.7,,263,,,
CoCrFeMnNi,10.1016/j.msea.2019.03.057,FCC,8.8,,244,,,
CoCrFeMnNi,10.1016/j.msea.2019.03.057,FCC,8.8,,228,,,
CoCrFeNiAl0.5,10.1016/j.intermet.2019.04.014,FCC+BCC,,,355,,,T
(FeNiCoCrMn)0.95C0.5,10.1016/j.intermet.2019.04.014,FCC,,,225,,,T
Fe40.4Ni11.3Mn34.8Al7.5Cr6C1.1,10.1016/j.intermet.2019.04.014,FCC,,,355,,,T
CoCrFeNiMo0.3,10.1016/j.intermet.2019.04.014,FCC+s,,,305.3,,,T
CoCrFeNiMo0.3,10.1016/j.intermet.2019.04.014,FCC+s+u,,,815.5,,,T
CoCrFeNiCuAl,10.1016/j.intermet.2019.04.014,FCC+BCC,,,790,,,T
Co35Cr25Fe40-xNi5,10.1016/j.msea.2019.138403,FCC,,,382,,,T
Co35Cr25Fe40-xNi5,10.1016/j.msea.2019.138403,FCC,,,285,,,T
Co35Cr25Fe40-xNi5,10.1016/j.msea.2019.138403,FCC,,,294,,,T
Co35Cr25Fe40-xNi14,10.1016/j.msea.2019.138403,FCC,,,296,,,T
Co35Cr25Fe40-xNi14,10.1016/j.msea.2019.138403,FCC,,,425,,,T
Co35Cr25Fe40-xNi14,10.1016/j.msea.2019.138403,FCC,,,447,,,T
FeCoCrNiMn,10.1016/j.jallcom.2018.10.168,FCC,,,1314,,,C
FeCoCrNiMnAl0.1,10.1016/j.jallcom.2018.10.168,FCC+BCC,,,1631,,,C
FeCoCrNiMnAl0.3,10.1016/j.jallcom.2018.10.168,FCC+BCC,,,1836,,,C
FeCoCrNiMnAl0.5,10.1016/j.jallcom.2018.10.168,FCC+BCC,,,1932,,,C
FeCoCrNiMnAl0.7,10.1016/j.jallcom.2018.10.168,FCC+BCC,,,2230,,,C
Cr20Mn20Fe20Co20Ni20,10.1016/j.actamat.2019.01.029,FCC,,,207,,,
Cr33.3Co33.3Ni33.3,10.1016/j.actamat.2019.01.029,FCC,,194,260,,,
Mn25Fe25Co25Ni25,10.1016/j.actamat.2019.01.029,FCC,,,149,,,
Co50Ni50,10.1016/j.actamat.2019.01.029,FCC,,,79,,,
CoCrFeNiCu,10.1016/j.msea.2019.05.056,FCC,,,230,,,
AlCoCrFeNi,10.1016/j.msea.2019.05.056,BCC,,,1500,,,
AlCoCrFeNiNb0.1,10.1016/j.msea.2019.05.056,BCC,,,1373,,,
AlCoCrFeNiNb0.25,10.1016/j.msea.2019.05.056,Laves Phase + BCC,,,1641,,,
AlCoCrFeNiNb0.5,10.1016/j.msea.2019.05.056,Laves Phase + BCC,,,1959,,,
AlCoCrFeNiNb0.75,10.1016/j.msea.2019.05.056,Laves Phase + BCC,,,2473,,,
AlCrFeCoNiCuMn,10.1016/j.msea.2019.05.056,FCC + BCC,,,1005,,,
AlCrFeCoNiCuTi,10.1016/j.msea.2019.05.056,BCC1+BCC2+FCC,,,1234,,,
NbTaTiV,10.1016/j.jallcom.2018.10.230,BCC,,,1373,437,,
NbTaTiV,10.1016/j.jallcom.2018.10.230,BCC,,,965,,,
NbTaVW,10.1016/j.jallcom.2018.10.230,BCC,,,1530,,,
NbTaTiVW,10.1016/j.jallcom.2018.10.230,BCC,,,1420,,,
NbTaTiVAl,10.1016/j.jallcom.2018.10.230,BCC,,,991,,,
MoNbTaW,10.1016/j.jallcom.2018.10.230,BCC,,,1058,548,,
MoNbTaVW,10.1016/j.jallcom.2018.10.230,BCC,,,1246,842,,
MoNbTaV,10.1016/j.jallcom.2018.10.230,BCC,,,1525,,,
MoNbTaTiV,10.1016/j.jallcom.2018.10.230,BCC,,,1400,,,
HfMoTaTiZr,10.1016/j.jallcom.2018.10.230,BCC,,,1600,,,
HfMoNbTaTiZr,10.1016/j.jallcom.2018.10.230,BCC,,,1512,,,
HfNbTaTiZr,10.1016/j.jallcom.2018.10.230,BCC,,,929,295,,
HfMoNbTiZr,10.1016/j.jallcom.2018.10.230,BCC,,,1719,,,
NbTa0.5TiZrAl0.2,10.1016/j.jallcom.2018.10.230,BCC,,,1500,,,
NbMoTaVW,10.1016/j.jallcom.2018.10.230,BCC,,,3566,,,
CrMo0.5NbTa0.5TiZr,10.1016/j.jallcom.2018.10.230,,,,,546,,
NbTiVZr,10.1016/j.jallcom.2018.10.230,,,,,58,,
HfMo0.5NbTiV0.5Si0.3,10.1016/j.jallcom.2018.10.230,,,,,166,,
FeCoCrNiMn,10.1016/j.msea.2019.01.050,,,,378.7,,,
Fe40Mn40Co10Cr10,10.1016/j.msea.2019.05.057,,,,272,,,
FeCoMnCrNi,10.1016/j.msea.2019.05.057,,,,375,,,
V10Cr15Mn5Fe35Co10Ni25,10.1016/j.msea.2019.05.057,,,,498,,,
CoCrNi,10.1016/j.msea.2019.05.057,,,,362,,,
FeCoCrNi,10.1016/j.msea.2019.05.057,,,,260,,,
CoFeNi2V0.5Mo0.2,10.1016/j.scriptamat.2019.02.038,FCC,,,252,187,,
CrFeNi2.4Al0.6,10.1016/j.jallcom.2018.08.176,,,,441,,,T
CrFeNi2.3Al0.7,10.1016/j.jallcom.2018.08.176,,,,461,,,T
CrFeNi2.2Al0.8,10.1016/j.jallcom.2018.08.176,,,,479,,,T
CrFeNi2.1Al0.9,10.1016/j.jallcom.2018.08.176,FCC+B2,,,610,,,T
CrFeNi2Al,10.1016/j.jallcom.2018.08.176,FCC+B2,,,774,,,T
V10Cr10Fe45Co20Ni15 294± 4,10.1016/j.jallcom.2019.151864,,,,626± 5,,,
CrMnFeCoNi 410± 21,10.1016/j.jallcom.2019.151864,,,,763± 32,,,
CrCoNi 440± 13,10.1016/j.jallcom.2019.151864,,,,884± 11,,,
V20Cr15Fe20Ni45,10.1016/j.msea.2018.11.136,FCC,,,352,,,T
V20Cr15Fe20Ni45,10.1016/j.msea.2018.11.136,FCC,,,555,,,T
V20Cr15Fe20Ni45,10.1016/j.msea.2018.11.136,FCC,,,587,,,T
V20Cr15Fe20Ni45,10.1016/j.msea.2018.11.136,FCC,,,715,,,T
Nb42Mo20Ti13Cr12V12Ta1,10.1016/j.ijrmhm.2019.02.009,BCC+TiC,8.02,,2680,,,
AlNbTiV,10.1016/j.ijrmhm.2019.02.009,BCC,5.48,,1020,,,
WNbMoTaV,10.1016/j.ijrmhm.2019.02.009,BCC,12.29,,1246,,,
MoNbHfZrTi,10.1016/j.ijrmhm.2019.02.009,BCC,8.68,,1719,,,
AlMo0.5NbTa0.5TiZr,10.1016/j.ijrmhm.2019.02.009,BCC+B2,7.14,,2000,,,
HfMo0.5NbTiV0.5Si0.7,10.1016/j.ijrmhm.2019.02.009,BCC+M5Si3,8.49,,2134,,,
V10Cr10Co30Fe40Ni10,10.1016/j.scriptamat.2019.06.026,,,,470,,,T
V10Cr10Co30Fe45Ni5,10.1016/j.scriptamat.2019.06.026,,,,451,,,T
V10Cr10Co30Fe50,10.1016/j.scriptamat.2019.06.026,,,,409,,,T
CoCr0.25FeMnNi,10.1016/j.jallcom.2019.152000,,,,185,,,T
CoCr0.25FeMnNi,10.1016/j.jallcom.2019.152000,,,,215,,,T
CoCr0.25FeMnNi,10.1016/j.jallcom.2019.152000,,,,255,,,T
CoCr0.25FeMnNi,10.1016/j.jallcom.2019.152000,,,,320,,,T
Co20Cr20Fe20Mn20Ni20,10.1016/j.mtla.2019.100404,,,214,318,,,
Co10Cr10Fe10Mn10Ni60,10.1016/j.mtla.2019.100404,,,219,308,,,
Co2Cr2Fe2Mn2Ni92,10.1016/j.mtla.2019.100404,,,181,183,,,
CoCrFeMnNi,10.1016/j.jallcom.2019.03.403,,,,270,,,T
CoCrFeMnNiC2,10.1016/j.jallcom.2019.03.403,,,,581,,,T
CoCrFeMnNi,10.1016/j.jallcom.2019.03.403,,,,371,,,T
CoCrFeMnNiC,10.1016/j.jallcom.2019.03.403,,,,634,,,T
CoCrFeMnNiC3,10.1016/j.jallcom.2019.03.403,,,,792,,,T
Al0.3CoCrFeNi,10.1016/j.jallcom.2018.11.116,FCC,,,1136,,,T
Al0.3CoCrFeNi,10.1016/j.jallcom.2018.11.116,FCC,,,600,,,T
Al0.3CoCrFeNi,10.1016/j.jallcom.2018.11.116,FCC,,,588,,,T
Al0.3CoCrFeNi,10.1016/j.jallcom.2018.11.116,FCC,,,512,,,T
Al0.3CoCrFeNi,10.1016/j.jallcom.2018.11.116,FCC,,,516,,,T
Al0.3CoCrFeNi,10.1016/j.jallcom.2018.11.116,FCC,,,1074,,,T
Al0.3CoCrFeNi,10.1016/j.jallcom.2018.11.116,FCC,,,712,,,T
Al0.3CoCrFeNi,10.1016/j.jallcom.2018.11.116,FCC,,,617,,,T
Al0.3CoCrFeNi,10.1016/j.jallcom.2018.11.116,FCC,,,518,,,T
Al0.3CoCrFeNi,10.1016/j.jallcom.2018.11.116,FCC,,,496,,,T
MoNbTaTiV,10.1016/j.jmst.2019.07.013,,9.22,,1877,,,C
MoNbTaTiV,10.1016/j.jmst.2019.07.013,,9.45,,2208,,,C
MoNbTaTiV,10.1016/j.jmst.2019.07.013,,9.46,,2179,,,C
MoNbTaTiV,10.1016/j.jmst.2019.07.013,,,,2208,,,C
MoNbTaTiV,10.1016/j.jmst.2019.07.013,,,,1400,,,C
MoNbTaVW,10.1016/j.jmst.2019.07.013,,,,2612,,,C
MoNbTaVW,10.1016/j.jmst.2019.07.013,,,,1246,,,C
MoNbTaW,10.1016/j.jmst.2019.07.013,,,,1058,,,C
NbTaTiVW,10.1016/j.jmst.2019.07.013,,,,1420,,,C
NbTaVW,10.1016/j.jmst.2019.07.013,,,,1530,,,C
MoNbTaV,10.1016/j.jmst.2019.07.013,,,,1525,,,C
HfMoTaTiZr,10.1016/j.jmst.2019.07.013,,,,1600,,,C
HfMoNbTaTiZr,10.1016/j.jmst.2019.07.013,,,,1512,,,C
HfMoNbTiZr,10.1016/j.jmst.2019.07.013,,,,1719,,,C
AlNbTiV,10.1016/j.jmst.2019.07.013,,,,1020,,,C
CrMo0.5NbTa0.5TiZr,10.1016/j.jmst.2019.07.013,,,,1595,,,C
AlCoCuFeNi0.5,10.1016/j.jmst.2018.12.014,BCC+FCC+B2,,,929,,,C
AlCoCuFeNi0.8,10.1016/j.jmst.2018.12.014,BCC+FCC+B2,,,1021,,,C
AlCoCuFeNi1.0,10.1016/j.jmst.2018.12.014,FCC+BCC+B2,,,994,,,C
AlCoCuFeNi1.5,10.1016/j.jmst.2018.12.014,FCC+BCC+B2,,,680,,,C
AlCoCuFeNi2.0,10.1016/j.jmst.2018.12.014,FCC+BCC+B2,,,544,,,
AlCoCuFeNi3.0,10.1016/j.jmst.2018.12.014,FCC,,,268,,,
FeCoCrNiMnTi0.1C0.1,10.1016/j.vacuum.2019.04.043,,7.5,,1616,,,C
